2017_05_16\00000\0005.wav	我再回来
2017_05_16\00005\0875.wav	你看看你们几个高磊
2017_05_16\00005\0877.wav	这是这样的
2017_05_16\00005\0902.wav	嗯嗯嗯嗯嗯嗯
2017_05_16\00005\0905.wav	你应该都会和你还无论是有
2017_05_16\00005\0908.wav	嗯先生吗曼曼舞
2017_05_16\00005\0922.wav	好哦很好哦
2017_05_16\00005\0943.wav	S东西点哪场
2017_05_16\00005\0953.wav	我现在不回家啊
2017_05_16\00005\0965.wav	哇我开回来了等会你了摩卡下来你把我们自己背下来
2017_05_16\00005\0967.wav	你就说完之后呢一定不要报价其实到最后呢也不要报警
2017_05_16\00005\0976.wav	疑问的事情事情啊很生气
2017_05_16\00005\0988.wav	您好我想和你可以分的女人
2017_05_16\00005\0990.wav	车赶到事发几天的安排下
2017_05_16\00006\0005.wav	每个人的生活都不是完美的
2017_05_16\00006\0016.wav	对各保险公司还有打折卡
2017_05_16\00006\0017.wav	嗯我二十二岁多的时候分吗我要的那股的时候没和艺术呃我有的时候我
2017_05_16\00006\0019.wav	问一种危险帖子意思的话
2017_05_16\00006\0024.wav	微动了你好几处个
2017_05_16\00006\0026.wav	农业部哦
2017_05_16\00006\0046.wav	是的因为每个人只有俩别骂我帮你做一遍你自己作揖别买
2017_05_16\00006\0047.wav	哎呀真不好意思啊当家的不在家我没知道啊
2017_05_16\00006\0048.wav	我觉得吧你还是买吧啊要不然他化成一年就指出一侧
2017_05_16\00006\0059.wav	这五便意
2017_05_16\00006\0060.wav	小李还不读书了
2017_05_16\00006\0066.wav	为尽快想办法农行找那六万
2017_05_16\00006\0067.wav	我不有一个信用卡不等年龄而当初撒落在那个文吧按的那个那个好我一直在用地用了然后那个
2017_05_16\00006\0091.wav	先生都是那天了呀嗯
2017_05_16\00006\0106.wav	嗯来临那时对呀
2017_05_16\00006\0119.wav	我们就组建的这个去利用团队的力量
2017_05_16\00006\0120.wav	微信你按修筑的那个危险就有种配的
2017_05_16\00006\0125.wav	没事还给我添新吗
2017_05_16\00006\0139.wav	你被先生茫茫为
2017_05_16\00006\0148.wav	老人都到齐了好现在什么更好了下来
2017_05_16\00006\0149.wav	和银那天你最好早点下班
2017_05_16\00006\0155.wav	你要是去没帮你介绍一个
2017_05_16\00006\0162.wav	对嗯你先这样一株草生嗯多素白的还和建议
2017_05_16\00006\0167.wav	你个说中了好几万没人都溜钱
2017_05_16\00006\0169.wav	哦要高圆圆脸见人问你
2017_05_16\00006\0173.wav	我同事小时候日三万柳柳
2017_05_16\00006\0174.wav	你能办的时候是一万五千四长了一天会呢嗯
2017_05_16\00006\0182.wav	每次你就别理他
2017_05_16\00006\0185.wav	一年也变吧
2017_05_16\00006\0186.wav	啊这一张新一座
2017_05_16\00006\0190.wav	嗯你好我是一名乘客的
2017_05_16\00006\0194.wav	好方便这样想
2017_05_16\00006\0195.wav	对这是在你先生三八
2017_05_16\00006\0208.wav	今天老八一五有没有在店里面
2017_05_16\00006\0214.wav	是说昨天晚上谢谢开我的胸腹以前是
2017_05_16\00006\0219.wav	没高兴地向了现在还在现在王建民立项呢
2017_05_16\00006\0225.wav	为什么要倒霉的主人
2017_05_16\00006\0229.wav	台下亲了一下请四个人谁
2017_05_16\00006\0232.wav	问过小樱哪他说他记不得
2017_05_16\00006\0233.wav	呵呵资源对
2017_05_16\00006\0254.wav	喂你好袖口我是意思啊
2017_05_16\00006\0265.wav	你要是想去干吗你就直说你不要这样子
2017_05_16\00006\0271.wav	我上次买了一顿七分没给钱你先给你办容祖儿不能钱呢
2017_05_16\00006\0273.wav	你我不要拉徒弟什么是分类形容
2017_05_16\00006\0278.wav	孕妇了的老妈了条例
2017_05_16\00006\0284.wav	三个责任过来我已经发红包
2017_05_16\00006\0292.wav	嗯把了是让我家都配的那个微信他现在正在排力呢说的就能给回复了因为因为东北一直没回复我也不会家呀你加百千家的啊
2017_05_16\00006\0305.wav	可以什么着我拍过来啦
2017_05_16\00006\0312.wav	现在很多人有驾照
2017_05_16\00006\0317.wav	大奖最爱建好的吧
2017_05_16\00006\0318.wav	不是特别明显已经再涂一遍再过五十到十五分钟一定可以看到效果
2017_05_16\00006\0346.wav	想我昨天一身忘记带了
2017_05_16\00006\0348.wav	嗯那不是心理
2017_05_16\00006\0402.wav	客户说营和称
2017_05_16\00006\0404.wav	新一银嗯德宏行哦
2017_05_16\00006\0410.wav	我的韭菜找到下大树以呀
2017_05_16\00006\0422.wav	哈珀部分写着
2017_05_16\00006\0437.wav	是你没有上班吗
2017_05_16\00006\0438.wav	为在呀面官网上辽宁中医了
2017_05_16\00006\0441.wav	好我给你愿意
2017_05_16\00006\0458.wav	蓝喉西城林倩都四种里买东西你练
2017_05_16\00006\0461.wav	张图打了三年
2017_05_16\00006\0463.wav	听到了同事们
2017_05_16\00006\0467.wav	请问你对你的事做得太好了
2017_05_16\00006\0480.wav	行那我没时间陪她他在外面有了
2017_05_16\00006\0488.wav	嗯嗯与朋友们嗯
2017_05_16\00006\0492.wav	青这种是什么棒子叫什么吗这个其库存的话很好用我这边已经没有了
2017_05_16\00006\0502.wav	舒适和促进和
2017_05_16\00006\0504.wav	从业嗯你说那个衣服到了怎么名骑过来嘞
2017_05_16\00006\0506.wav	是误导啥意思行啦啥意思啊
2017_05_16\00006\0511.wav	刘林跟相间的热量太高
2017_05_16\00006\0524.wav	好说的这个被我赚钱啊
2017_05_16\00006\0531.wav	<UNK>你
2017_05_16\00006\0532.wav	嗯快线拴呀
2017_05_16\00006\0533.wav	你怎么个说法吧
2017_05_16\00006\0540.wav	黑洞里你和李姝个
2017_05_16\00006\0548.wav	我本身就办了没说吧北走
2017_05_16\00006\0554.wav	在舟桥那个彡程程你
2017_05_16\00006\0559.wav	我吃完啦我刚是为你做的饭吃吧
2017_05_16\00006\0564.wav	为是在嗯你与别人把我站住了所以说我没办法我只能玩你底线恍然
2017_05_16\00006\0586.wav	小坐九点是可是我不会
2017_05_16\00006\0602.wav	你如果落不到东西我去了也不会接你的
2017_05_16\00006\0618.wav	上班忙LOG (online2\wav\nnet2\latgen\faster[5.2.43~1396\83279]:recog_one_audio():online2\wav\nnet2\latgen\faster.cc:330) cpu_time=67919	speech_time=3800	rt_factor=17.8734
2017_05_16\00006\0625.wav	你想办法你帮忙
2017_05_16\00006\0638.wav	有时到成功的是不是只有一点
2017_05_16\00006\0640.wav	嗯不尤其来啊
2017_05_16\00006\0653.wav	你叫大好事吧
2017_05_16\00006\0654.wav	好象是心想那个靓丽吧
2017_05_16\00006\0662.wav	山东省淄博市不慎蛆博山镇和广西村
2017_05_16\00006\0671.wav	吓得我家在外啊别玩呀这一关了吧
2017_05_16\00006\0673.wav	和我在呀面岗上两年容易了
2017_05_16\00006\0683.wav	晴姐现在诶
2017_05_16\00006\0690.wav	跟妈妈是用的话你就一定得听我的
2017_05_16\00006\0700.wav	这是家庭作业没有写的同学吗
2017_05_16\00006\0710.wav	嗯事儿
2017_05_16\00006\0716.wav	把手机摁一下浏阳市对十一城
2017_05_16\00006\0720.wav	在这期间要观察它的变化看旧闻有没有四遍但如果有变淡当然最好这刚才我们目的的如果死
2017_05_16\00006\0728.wav	<UNK>那天我暂时嗯那帮朋友和<UNK>
2017_05_16\00006\0735.wav	你忍心叫了四七
2017_05_16\00006\0756.wav	嗯你好你好你没完
2017_05_16\00006\0757.wav	我们要不要拿出一点点时间
2017_05_16\00006\0759.wav	发生着下身来咯
2017_05_16\00006\0762.wav	亲我都啊你说说的是哪一个清了吗
2017_05_16\00006\0776.wav	这样看见谁要你啊乖啊
2017_05_16\00006\0778.wav	第一个款那个花诶诶有时候有有时候没有的今天发的那个颜色没有
2017_05_16\00006\0785.wav	对对声音午餐前
2017_05_16\00006\0803.wav	请问这是为嗯行了你
2017_05_16\00006\0805.wav	而张真一块八十八把手机上的一个验证码帮我发过来一下
2017_05_16\00006\0806.wav	责编中大奖吗呃令得昔一炉爱
2017_05_16\00006\0817.wav	下班带我上那个两路会说话啊大家分了
2017_05_16\00006\0818.wav	彩礼钱你只让你出了一万块钱其二什么都没有
2017_05_16\00006\0843.wav	你有些回家了
2017_05_16\00006\0856.wav	第一另外一部好一会
2017_05_16\00006\0858.wav	先写多少克
2017_05_16\00006\0863.wav	喂喂水泉的
2017_05_16\00006\0873.wav	你就想看看我的好了有了么么么你女人不都是一样的吗
2017_05_16\00006\0894.wav	你是猪啊我这么跟你说你还不懂嗯
2017_05_16\00006\0895.wav	为一七九二五六九二
2017_05_16\00006\0913.wav	四如果C省你说的
2017_05_16\00006\0916.wav	行嗯看一下谢谢你们家可以到
2017_05_16\00006\0917.wav	你会啊我这来了一些我现在打开啊
2017_05_16\00006\0921.wav	<UNK>你问了吗武术课上不上
2017_05_16\00006\0923.wav	哎行没吃过午饭了没有
2017_05_16\00006\0927.wav	你这两个分都接到俩就到二级箱内
2017_05_16\00006\0929.wav	陈老师你好美您需要请假一下
2017_05_16\00006\0944.wav	企业营销方式会从企业家营销走向官吏是营销
2017_05_16\00006\0952.wav	哎呀真不好意思啊商家都不在家
2017_05_16\00006\0964.wav	哦哦为是谢谢这是时候
2017_05_16\00006\0970.wav	上课说你这跟着他
2017_05_16\00006\0974.wav	嗯是老板娘那里放马的啦
2017_05_16\00006\0980.wav	昨天是一条路有吗
2017_05_16\00006\0986.wav	哦有事来说的
2017_05_16\00006\0989.wav	早上一样的打电话了我跟他说了他说那不要
2017_05_16\00006\0996.wav	压力说他们家有
2017_05_16\00007\0001.wav	因为跟你们的价格我也没办法再将了行吧嘻
2017_05_16\00007\0018.wav	他们单位都没得家里
2017_05_16\00007\0020.wav	好在就没拍啦
2017_05_16\00007\0023.wav	嗯嗯
2017_05_16\00007\0026.wav	我报了一个年度印花税
2017_05_16\00007\0029.wav	您好说那是我看不懂吗
2017_05_16\00007\0043.wav	林立吃啦啦啦
2017_05_16\00007\0048.wav	好好好好好好好拜拜
2017_05_16\00007\0056.wav	心也不用嗯土地是复制的称呼
2017_05_16\00007\0067.wav	微信用拿那两个心情回来四四然后发发圈了
2017_05_16\00007\0072.wav	昨天晚上的时候我以为你刚开始几公里就结束了
2017_05_16\00007\0078.wav	说我单位那种没有失控
2017_05_16\00007\0090.wav	信号不好和车配照片有什么关系
2017_05_16\00007\0095.wav	我刚去海玲那儿坐了一会儿
2017_05_16\00007\0097.wav	所以权益呵
2017_05_16\00007\0103.wav	合作也就是这个证明你看看什么时候能办完呢因为我们的面前已经这个约好时间了尽量快一点好吗
2017_05_16\00007\0106.wav	我心想我自己将间隔
2017_05_16\00007\0111.wav	<UNK>为帝罗邪物嗯慎用行
2017_05_16\00007\0132.wav	是的气格栅过
2017_05_16\00007\0141.wav	那一起跳舞的
2017_05_16\00007\0146.wav	要不你头今天早上就不开心你要是回新家您发回给严格国行嘞就会开心了
2017_05_16\00007\0152.wav	嗯看了一次没有和似得我跟着一个房间前嗯嗯然后你安排另一个人有哪没有打没停
2017_05_16\00007\0155.wav	听说二家里的大推烫伤的
2017_05_16\00007\0161.wav	七三千块钱出来做会已经
2017_05_16\00007\0162.wav	你对我真的很痛苦
2017_05_16\00007\0176.wav	是有网民家
2017_05_16\00007\0184.wav	这龙蟠是你自己做的吗
2017_05_16\00007\0187.wav	说完行行行行行行
2017_05_16\00007\0196.wav	别忘了给王吗我现在先睡会等到一点半我在
2017_05_16\00007\0204.wav	嗯嗯地叫了我一样
2017_05_16\00007\0206.wav	车过这
2017_05_16\00007\0238.wav	起早就把爆照张相片我来给我看
2017_05_16\00007\0240.wav	是父亲是嗯
2017_05_16\00007\0241.wav	好似要你那个长的早班好
2017_05_16\00007\0245.wav	为东西区可能毫无木对天时候还是
2017_05_16\00007\0254.wav	我和李姐俩给我这个这是美颜相机咒符是给你面目
2017_05_16\00007\0261.wav	为了那个嗯你不是十点半到家了吗我家
2017_05_16\00007\0273.wav	因为现在吃收买有双翼了
2017_05_16\00007\0278.wav	VB送去给钱哪
2017_05_16\00007\0279.wav	为请问服务好啦
2017_05_16\00007\0282.wav	好受的罪的诱惑啊
2017_05_16\00007\0296.wav	我要把卖房子的钱有的给儿子上大学用帮助不卖庆祝
2017_05_16\00007\0297.wav	跟小丽跟楼主一样似乎
2017_05_16\00007\0300.wav	如果不找着一个文件是一千五
2017_05_16\00007\0309.wav	十一月身上
2017_05_16\00007\0344.wav	住址除了才四区时没有哦
2017_05_16\00007\0363.wav	谁知道今天中午听写多少克
2017_05_16\00007\0388.wav	为食亡我是通过天台T
2017_05_16\00007\0390.wav	青丝排练的情况怎么样有没有五
2017_05_16\00007\0393.wav	下午我去刘把儿
2017_05_16\00007\0414.wav	由收及
2017_05_16\00007\0419.wav	老婆这几个好像坐那边都和和所谓的样纸
2017_05_16\00007\0423.wav	收到汪精卫等一些哪里啊
2017_05_16\00007\0424.wav	可不可以给我的快递等一下
2017_05_16\00007\0436.wav	嗯嗯去了一眼就看上了
2017_05_16\00007\0439.wav	老婆个动作那边好像无所谓的样子嗯
2017_05_16\00007\0442.wav	嗯昨天你没有啊我要说是五九
2017_05_16\00007\0455.wav	姗姗位置不好不要乱吃
2017_05_16\00007\0463.wav	难啊中有加班啊哎呀我要搬走啦
2017_05_16\00007\0465.wav	上海里面不行
2017_05_16\00007\0467.wav	新书每一天都要一发力四四这种差的我的私拆了
2017_05_16\00007\0471.wav	问市民算那些了吗
2017_05_16\00007\0477.wav	为五重刷没刷都能直接吗
2017_05_16\00007\0487.wav	你饿今天了我看得到你知道吗的非常的
2017_05_16\00007\0490.wav	胎心音分心一个啊
2017_05_16\00007\0504.wav	陈文新周六周日在治疗是上班上班时间为早上八点到十二点下午十三点到十六点当时是七点
2017_05_16\00007\0524.wav	你是二月是气候露珠
2017_05_16\00007\0540.wav	都以新数算嗯
2017_05_16\00007\0544.wav	哈诶是不过不方便说和
2017_05_16\00007\0553.wav	你这家酒店是饿又吃呢玩的
2017_05_16\00007\0561.wav	说实话我也不小心哦女
2017_05_16\00007\0566.wav	昨晚面作孽
2017_05_16\00007\0567.wav	你没事吧
2017_05_16\00007\0568.wav	想我换了衣服家居白的
2017_05_16\00007\0575.wav	上百家来袭来不用做水现成的
2017_05_16\00007\0594.wav	为感觉自己什么都不想看一下有联系
2017_05_16\00007\0612.wav	行啦看你猜就中了
2017_05_16\00007\0619.wav	金兰开花落好漂亮呀
2017_05_16\00007\0620.wav	你好你好我父母灵敏
2017_05_16\00007\0627.wav	嗯我都说了标记我打工那边必须提拉去啊
2017_05_16\00007\0636.wav	正在下饺子来吃吧
2017_05_16\00007\0639.wav	我政府只是我的能问的福气
2017_05_16\00007\0676.wav	好热啊
2017_05_16\00007\0684.wav	阿好阿
2017_05_16\00007\0689.wav	爱信精大流量就像怎么三个亮对应的哈哈哈哈哈哈哈哈哈我可以听听经营头领哎
2017_05_16\00007\0692.wav	另外两个了一下午去看看买一个区穿也不多了都不够吧
2017_05_16\00007\0695.wav	王英我们嗯嗯嗯出
2017_05_16\00007\0706.wav	哦上帝呀
2017_05_16\00007\0731.wav	好在六号给我这个县区都有
2017_05_16\00007\0735.wav	我是啊是对这个小区门口打的到那个中枪啊那个批发市场啊
2017_05_16\00007\0741.wav	嗯嗯谢谢嗯
2017_05_16\00007\0742.wav	哦是太大了对着那人看了看对于人学过的都是有三间建议那样的做人
2017_05_16\00007\0754.wav	抓好换手机要花好多东西好麻烦
2017_05_16\00007\0763.wav	对得也真行啊
2017_05_16\00007\0777.wav	你现在可以说我们是去了
2017_05_16\00007\0783.wav	你好哦你都来我脚啦
2017_05_16\00007\0794.wav	昂贵轻易的嗯嗯嗯
2017_05_16\00007\0802.wav	呵呵威哥了好一位老师说
2017_05_16\00007\0806.wav	嗯天会那家
2017_05_16\00007\0808.wav	我说着说着的和我过百年的我看着那组图
2017_05_16\00007\0815.wav	嗯嗯那我们可以做朋友吗
2017_05_16\00007\0820.wav	还是妈妈开头就是缘
2017_05_16\00007\0832.wav	你现在的工资一个月都想啊
2017_05_16\00007\0835.wav	哈哈就是爱吗
2017_05_16\00007\0838.wav	嗯现在代养狗
2017_05_16\00007\0841.wav	不想和你读书
2017_05_16\00007\0842.wav	有再加价把这个事呢安排给别人了
2017_05_16\00007\0848.wav	未解不了那K
2017_05_16\00007\0871.wav	好血都是理财
2017_05_16\00007\0875.wav	第一年交房租是同时交押金两千元子
2017_05_16\00007\0878.wav	你
2017_05_16\00007\0900.wav	他们还有五四九零七九四九原是一些特价会放在门口
2017_05_16\00007\0908.wav	今天不要几位是初始红生意没进
2017_05_16\00007\0914.wav	他打四平过嘞哎呀我五花流量吗还是他把流量
2017_05_16\00007\0920.wav	为防止单位还来还得给你了
2017_05_16\00007\0932.wav	硕博死亡的时候陆总的的
2017_05_16\00007\0935.wav	还是挺方便的有木有
2017_05_16\00007\0936.wav	家里的地底通过完了
2017_05_16\00007\0963.wav	晚上好好请他们吃一对一个可能也对说你二哥还是过剩
2017_05_16\00007\0975.wav	未娶了姐叫什么改名为
2017_05_16\00007\0982.wav	嗯你也可以呃可没
2017_05_16\00007\0992.wav	是精品不需要怎么会是宏盛没进
2017_05_16\00008\0000.wav	他家就在进入球给你钱
2017_05_16\00008\0001.wav	哎雪哦是不出来
2017_05_16\00008\0003.wav	肛周幽奥多所医院
2017_05_16\00008\0015.wav	我问你一个是好吗
2017_05_16\00008\0020.wav	嗯你是不是也快要退休了
2017_05_16\00008\0023.wav	顺便带上做期盼能够和我吗
2017_05_16\00008\0031.wav	所以才会出现这样的结果
2017_05_16\00008\0043.wav	三星的美元应该挺热的吧
2017_05_16\00008\0064.wav	实验室全面禁术
2017_05_16\00008\0075.wav	好了日历你连下午去长进
2017_05_16\00008\0086.wav	每天来到了大桥来我去帮你拍几张漂亮的相片
2017_05_16\00008\0102.wav	王大锤哎呀都挺好就行
2017_05_16\00008\0105.wav	登陆饭是你自己做的吗
2017_05_16\00008\0106.wav	好学精神和方块啊屠龙
2017_05_16\00008\0108.wav	稳定一期很高哦对
2017_05_16\00008\0129.wav	麻麻诶扮演那份一枚呀
2017_05_16\00008\0132.wav	谢谢大舅臭臭
2017_05_16\00008\0146.wav	装修的那个工程是叫我们
2017_05_16\00008\0155.wav	好好讲古炮讲泡黑豆都是很好的
2017_05_16\00008\0171.wav	我是华视吗等你请我吗
2017_05_16\00008\0179.wav	受苦错
2017_05_16\00008\0182.wav	哈哈不好意思刚才听我们存在主管
2017_05_16\00008\0183.wav	谁是嗯嗯国际地面帝达利红包
2017_05_16\00008\0189.wav	王叔只是是谁强谁说
2017_05_16\00008\0197.wav	当我们家来吃饭拉屎是没什么差
2017_05_16\00008\0200.wav	还在对账啊还没换地方
2017_05_16\00008\0204.wav	行行都跟我说
2017_05_16\00008\0208.wav	你喜欢来掩饰蓝颜就是你的了
2017_05_16\00008\0233.wav	我下午还要去银行转账
2017_05_16\00008\0242.wav	是妈好话
2017_05_16\00008\0248.wav	令其好你好久的关系
2017_05_16\00008\0249.wav	你我都在忙什嘛呀美应答对
2017_05_16\00008\0253.wav	维罗妮卡他能还给你开始直播看来
2017_05_16\00008\0257.wav	浴室我端看经给其他有没有哪家
2017_05_16\00008\0265.wav	第十四届的我在大连太老了看此文
2017_05_16\00008\0268.wav	博古冲杀农商啊都能一样吗
2017_05_16\00008\0272.wav	上面的在回味对我区
2017_05_16\00008\0280.wav	听歌三千块秦飞起
2017_05_16\00008\0283.wav	三是刚刚还拿武器烟
2017_05_16\00008\0323.wav	如果没有上传到作家影响到小组的上传第一次
2017_05_16\00008\0340.wav	上午清说哎找个为此写好点
2017_05_16\00008\0345.wav	你今天我刚称
2017_05_16\00008\0348.wav	我跟帖内容是邻居我
2017_05_16\00008\0350.wav	我想下还是买的深的京城七杂八步
2017_05_16\00008\0355.wav	删了什么情况哦
2017_05_16\00008\0358.wav	民为误区夜号
2017_05_16\00008\0382.wav	早先别人下午车容易夹断了
2017_05_16\00008\0387.wav	您好的你都已经来到我家了
2017_05_16\00008\0402.wav	不开化成了头发
2017_05_16\00008\0407.wav	没有好在四川石友三好几次看那么现在能看看你赶紧选
2017_05_16\00008\0412.wav	先生吗有收获啊不接单了啊
2017_05_16\00008\0417.wav	毕竟是还是婚后同时也算融合在一起还挺谈得来的不管四家的四还是后来单位的是
2017_05_16\00008\0429.wav	多多啊睡觉不用穿司仪了我没给他哪去
2017_05_16\00008\0441.wav	事实上吗我三三四零零一荡一个男的道路上
2017_05_16\00008\0445.wav	王麻烦上星期
2017_05_16\00008\0447.wav	花美眉你在江南啥嘞也不会花啊
2017_05_16\00008\0451.wav	一晃十五年过去了真的是太快了
2017_05_16\00008\0453.wav	还玩需要我等你会
2017_05_16\00008\0455.wav	诶你支付学子支付那个
2017_05_16\00008\0457.wav	是啊你怎么说呢嗯
2017_05_16\00008\0459.wav	哎说是你我哦
2017_05_16\00008\0466.wav	应该是几碗干饭一般小孩都扎肉啊
2017_05_16\00008\0481.wav	我们打叉起到去卖点去十天
2017_05_16\00008\0483.wav	中午有空的话
2017_05_16\00008\0492.wav	好的谢谢你拉达通啊嗯他要败尤卡
2017_05_16\00008\0511.wav	你服务我收到啦
2017_05_16\00008\0520.wav	一三一战请您啥也不是
2017_05_16\00008\0541.wav	既是有朋友真帮上忙也不用上午
2017_05_16\00008\0547.wav	怎么老歌打弄的流量造成的吗
2017_05_16\00008\0552.wav	奥现在在河里吃饭人
2017_05_16\00008\0555.wav	嗯这水煎成了很多水没事后天行业的晴天了
2017_05_16\00008\0556.wav	那你们就是中午吃完中午之时休
2017_05_16\00008\0561.wav	小红你能为还痛吗
2017_05_16\00008\0569.wav	说什么和我也不消息
2017_05_16\00008\0570.wav	我就那个对呀
2017_05_16\00008\0575.wav	陈老师嗯你好美林请见下请教一下
2017_05_16\00008\0586.wav	请问您嗯嗯嗯嗯叫什么名字
2017_05_16\00008\0604.wav	是以这样还蜂蜜一瓶一百块
2017_05_16\00008\0615.wav	学二哥我坚持天天吃药吧
2017_05_16\00008\0617.wav	你不能把它得谁也给一件了吧
2017_05_16\00008\0622.wav	您好先生行嗯嗯行辕
2017_05_16\00008\0623.wav	说说看批
2017_05_16\00008\0624.wav	似不似静谧说不清
2017_05_16\00008\0631.wav	哎
2017_05_16\00008\0635.wav	额上依然是能干什么
2017_05_16\00008\0644.wav	万都不是啊
2017_05_16\00008\0664.wav	你嘞嗯哪跟你算账你
2017_05_16\00008\0667.wav	没斑斑点点你要体面不行
2017_05_16\00008\0668.wav	第三次如果还发现我们就把他请出去打他不要在这个确立了因为他会影响大家
2017_05_16\00008\0681.wav	你说普通话它就会你嗯受尽一切手段个字
2017_05_16\00008\0682.wav	又到了新江上吃食的是字
2017_05_16\00008\0684.wav	一人都翘楚
2017_05_16\00008\0692.wav	既解饿信信
2017_05_16\00008\0696.wav	爱与人如果因酒醉这把他家人成双对
2017_05_16\00008\0707.wav	把你天女朋友丧邦吗
2017_05_16\00008\0710.wav	那一套是以能单价位有点高
2017_05_16\00008\0711.wav	你床下面了两双凉鞋我帮你收起来了那个衣服来才来一个妖妖的来都不要的搜一下等一下我有空的色放内存和起来
2017_05_16\00008\0727.wav	你十点才够了我不知道打电话问太重
2017_05_16\00008\0733.wav	林晨新你在干吗
2017_05_16\00008\0735.wav	为上下二本为要招呼
2017_05_16\00008\0739.wav	我的想法是错IDE总理那
2017_05_16\00008\0747.wav	亲嗯就是呃我的是那个差那有少少对你的败给为讨得了
2017_05_16\00008\0752.wav	第三轮我们两个都让你们带坏了
2017_05_16\00008\0758.wav	嗯的不用担心了我的排泄明白
2017_05_16\00008\0759.wav	你在对说话
2017_05_16\00008\0761.wav	从干什么呀
2017_05_16\00008\0764.wav	为好听得好模糊
2017_05_16\00008\0769.wav	八一方负责教啦
2017_05_16\00008\0781.wav	嗯是鲜花是一定要我看嗯
2017_05_16\00008\0798.wav	所以舱壁剖腹好多了
2017_05_16\00008\0816.wav	说罢做个美梦
2017_05_16\00008\0821.wav	这两天你咋不说话了
2017_05_16\00008\0826.wav	我原来你哦是真的无先例看黑有没有新闻了你那个那位朋友
2017_05_16\00008\0827.wav	我就是跟你说你是我们的格格
2017_05_16\00008\0832.wav	你早上过来了吗
2017_05_16\00008\0833.wav	赵无常中午嗯伙食还不错
2017_05_16\00008\0853.wav	那你们净是中午我吃完中午继续听
2017_05_16\00008\0855.wav	老板告诉亿万老一家
2017_05_16\00008\0872.wav	你干啥呢睡着了改变
2017_05_16\00008\0879.wav	你是不知道我打电话问
2017_05_16\00008\0881.wav	说万说
2017_05_16\00008\0884.wav	视频我看一下咱俩主播李你就不用费劲查了等他们志愿者去帮忙吧
2017_05_16\00008\0887.wav	是十六路重点在
2017_05_16\00008\0889.wav	我的韭菜找对象儿大属于呀
2017_05_16\00008\0896.wav	未受过伤K七王浩子哦我要二毛通常处方药来诶自说自已也是要来好都可以随时过来的所以时候你们来了
2017_05_16\00008\0898.wav	在昌平
2017_05_16\00008\0907.wav	老师说你说的作业的人生哪的作业等
2017_05_16\00008\0911.wav	嗯年的一年多的清丽
2017_05_16\00008\0912.wav	难做的是那肯定是不敢
2017_05_16\00008\0929.wav	你的目标四找个什么样的呀
2017_05_16\00008\0934.wav	哦我就属于只要那个好友没加上是什么
2017_05_16\00008\0937.wav	打开那个和每经原因后面还是那个兵力跟那个跟那个的兵力跟那个开那个证明就可以意思吗还是说要等你那边的骠骑过来那个单子给我舔
2017_05_16\00008\0955.wav	零零一三
2017_05_16\00008\0957.wav	我可是好人的SPA呵呵
2017_05_16\00008\0972.wav	哎在家里延误了
2017_05_16\00008\0974.wav	我原来买的是四百二十
2017_05_16\00008\0976.wav	现在再给他上课他听不进去了
2017_05_16\00008\0979.wav	是呀光明嗯一瓶一百块
2017_05_16\00008\0982.wav	是一样黄敏一瓶一百块
2017_05_16\00008\0992.wav	为啥不认同你说你这理由
2017_05_16\00009\0016.wav	是是是死于X姐姐
2017_05_16\00009\0020.wav	猥琐大叔很大的声音这是我好老师父什么什么以后空过我就走掉了
2017_05_16\00009\0030.wav	是噻好啊
2017_05_16\00009\0049.wav	你嗯嗯那
2017_05_16\00009\0057.wav	我吃饭张老弟嗯
2017_05_16\00009\0065.wav	你们下午休息多七点钟上班呀
2017_05_16\00009\0067.wav	这份美好的梦歌笙歌歌歌
2017_05_16\00009\0071.wav	嗯看吗真的好忙着研究曾报道
2017_05_16\00009\0073.wav	嘤嘤在办公室和
2017_05_16\00009\0090.wav	是大了就这本
2017_05_16\00009\0109.wav	我的心呀
2017_05_16\00009\0111.wav	还有特说是下载软件
2017_05_16\00009\0112.wav	你不知道这话问一下人不要做惨叫
2017_05_16\00009\0119.wav	我每天七哥家五格的单子数大概就一百多年以上
2017_05_16\00009\0123.wav	这中学看饿了该没我属情谊
2017_05_16\00009\0124.wav	说什么呀了红包还到现在都不给法
2017_05_16\00009\0131.wav	送给太小啊
2017_05_16\00009\0162.wav	连颜色都一模一样
2017_05_16\00009\0204.wav	艾斯我等开精干下面有没有哪家
2017_05_16\00009\0210.wav	你便便或者某个名门是车还是问题
2017_05_16\00009\0213.wav	示范了每天天
2017_05_16\00009\0219.wav	我什么时候贵给回潜力呀
2017_05_16\00009\0220.wav	陈思诚的不太会把这一秒钟厂的成功的
2017_05_16\00009\0224.wav	和我要白色的你这种洗袜子那你要什么颜色的
2017_05_16\00009\0225.wav	诶是个头像是在若木鸡
2017_05_16\00009\0232.wav	嗯我也没上种啊
2017_05_16\00009\0235.wav	对呀有没有压力那个洞里的压力但我就报了
2017_05_16\00009\0253.wav	你便足疗哦
2017_05_16\00009\0267.wav	两个一七次
2017_05_16\00009\0269.wav	啊是我目前发现为此一次最好
2017_05_16\00009\0273.wav	诶
2017_05_16\00009\0275.wav	您好气息样约二三吗嗯
2017_05_16\00009\0276.wav	我刚出并出口就问
