2017_05_16\00022\0306.wav	 复赛童童选什么节目好你帮我们选一个好吗 
2017_05_16\00017\0742.wav	 江苏省盐城市 
2017_05_16\00001\0068.wav	毛毛你想分手的话就早说呗
2017_05_16\00026\0092.wav	 赵姨赵姨问你弄那么多饭吃得了吗 
2017_05_16\00011\0802.wav	李岩说的量少让我用小洗衣机洗
2017_05_16\00029\0497.wav	 想开一家看淡一些其实没什么大不了的 
2017_05_16\00022\0656.wav	 我在欧亚商都是一名导购 
2017_05_16\00032\0374.wav	我不相信你昨天我是穿衣服的你跟别人视频你还是怎么样你发过来给我看我不想看你让我不相信你了
2017_05_16\00001\0056.wav	老同学老同学不跟你聊了我要下去一趟
2017_05_16\00030\0267.wav	 哥想看看你 
2017_05_16\00018\0507.wav	见到你我能不高兴吗
2017_05_16\00028\0312.wav	 你到医院问一下 
2017_05_16\00029\0298.wav	 大闺女我操你妈 
2017_05_16\00017\0142.wav	 这是一次改变命运的机会 
2017_05_16\00029\0909.wav	 我会尽快把时间排出来 
2017_05_16\00026\0340.wav	我不理你了视频都不给我来一下
2017_05_16\00010\0521.wav	高珠颖让我彩芹咱们洗澡儿
2017_05_16\00018\0313.wav	人多的是啊
2017_05_16\00012\0629.wav	我叫你给我来一段视频你都不肯
2017_05_16\00009\0902.wav	对对对朝阳区的
2017_05_16\00005\0117.wav	那当然啦激动还睡得觉吗
2017_05_16\00024\0951.wav	他去打麻将赚到的他运气好我运气差
2017_05_16\00032\0147.wav	 明儿孩子比他老比老公漂亮 
2017_05_16\00010\0047.wav	 今天忙吗 
2017_05_16\00005\0057.wav	你那些肉肉我不要了反正也养不活给他们一条生路吧
2017_05_16\00026\0288.wav	我想去你那里你干嘛不叫我去呀
2017_05_16\00020\0463.wav	 我没忙啥在家玩儿呢 
2017_05_16\00009\0698.wav	咱应该买不重样儿的回来掰下点儿叶儿就能活这样儿都买重了
2017_05_16\00023\0247.wav	 手这么欠 
2017_05_16\00020\0577.wav	 共接待两位新入住的客人其中一位客人通过阿里预订一天实际入住半天便离店收取客人半天房费 
2017_05_16\00020\0340.wav	号码发过去了
2017_05_16\00000\0992.wav	又得去几天哪
2017_05_16\00017\0090.wav	 我反正也只是在会所的一个打工的 
2017_05_16\00020\0769.wav	你没看见还是我和你说话呀
2017_05_16\00032\0919.wav	谢谢船长老板的红包
2017_05_16\00008\0556.wav	那你们就吃中午吃完中午继续跳嘛
2017_05_16\00013\0976.wav	文化路这喇叭摔坏啦
2017_05_16\00019\0295.wav	 婉莹在睡觉 
2017_05_16\00016\0136.wav	 老五今天又忙的不行七车 
2017_05_16\00020\0844.wav	 看到你心情这么好我也放心了 
2017_05_16\00003\0862.wav	你这个肯定得那个注意饮食
2017_05_16\00016\0753.wav	我现在要出门喝咖啡了
2017_05_16\00027\0299.wav	你叫他踢吧你叫他踢吧
2017_05_16\00019\0028.wav	这儿呀七点半以后就黑天啦
2017_05_16\00025\0204.wav	感觉他那人都
2017_05_16\00021\0555.wav	只要你跟着我我给你钱
2017_05_16\00029\0077.wav	 拜拜 
2017_05_16\00014\0526.wav	 懒觉睡了很舒服两天补回来了 
2017_05_16\00006\0026.wav	钟艳红
2017_05_16\00019\0150.wav	那必须的带着你的爱人我一起请来丹东吃海鲜
2017_05_16\00008\0684.wav	聊天儿的你都清楚
2017_05_16\00003\0775.wav	中午的波菜没吃吗
2017_05_16\00018\0354.wav	 小青你让那个武翠翠对一下她的那个账号和名字打不过去退回来了又给 
2017_05_16\00006\0785.wav	 正在挣午餐钱 
2017_05_16\00003\0772.wav	在郑州什么地方
2017_05_16\00010\0720.wav	 豪车嘛配好的酒店 
2017_05_16\00017\0930.wav	 擦到人家一点点点的小车要那么多钱呢 
2017_05_16\00011\0899.wav	二若一方需要做隔墙出租今后不租时负责还原原貌
2017_05_16\00023\0469.wav	你让周周玩一玩再给你发红包
2017_05_16\00027\0008.wav	 第一次嗯登您门 
2017_05_16\00009\0865.wav	欢迎新护士沈清请大家认真仔细带教带教老师休息时提前交予其他护士带
2017_05_16\00018\0000.wav	不是刚才打错了
2017_05_16\00017\0211.wav	这么舒服啊白天还躺在床上哎呀美呀
2017_05_16\00001\0520.wav	昨天晚上习大大召开的一带一大
2017_05_16\00004\0855.wav	 杨凤兰 
2017_05_16\00011\0112.wav	 哦我知道了现在我去你家了拜拜 
2017_05_16\00030\0680.wav	我今天下午在家
2017_05_16\00019\0168.wav	你想我了你想我啥了你想我了
2017_05_16\00016\0650.wav	 看来你是真不嫌累得慌啊 
2017_05_16\00010\0905.wav	 但是我刚才跟你说的让刘金去二店儿说没说对呀我也不知道 
2017_05_16\00012\0813.wav	母亲在天堂上一定很幸福有你这么一个好好女儿
2017_05_16\00021\0688.wav	 昨天过节我们只能喝点海风 
2017_05_16\00003\0011.wav	 不大呀他只是高而已 
2017_05_16\00002\0883.wav	这个名字这么这么生僻
2017_05_16\00031\0087.wav	你就是喜欢在环境比较好的公司做事
2017_05_16\00021\0648.wav	那咱做便宜点儿一百八十八呗
2017_05_16\00005\0300.wav	 我昨天是第一个打开的领了两块四毛七 
2017_05_16\00026\0583.wav	 女人的待遇比男人的多几十倍 
2017_05_16\00011\0724.wav	 别这样好不好 
2017_05_16\00024\0777.wav	就报那么早的名啊
2017_05_16\00013\0199.wav	不来不跟第二个男人感兴趣啊
2017_05_16\00030\0828.wav	那就这样吧我是大姐珍珍是二
2017_05_16\00008\0242.wav	什么好话呢
2017_05_16\00000\0794.wav	 你是哪里的美女 
2017_05_16\00028\0365.wav	你不可以早几分钟啊这怪不了别人
2017_05_16\00010\0842.wav	他去万达办事的时候你在干嘛
2017_05_16\00021\0942.wav	 她嫁的那潮州地方儿专门儿就做话梅肉的 
2017_05_16\00009\0567.wav	赵耀午餐伙食还不错
2017_05_16\00018\0175.wav	 你说要回家接孙子去 
2017_05_16\00032\0820.wav	墙上麻雀叫喳喳
2017_05_16\00013\0607.wav	 庄霞你丑化你妈妈了 
2017_05_16\00028\0866.wav	啊做错了做错了对不起啦
2017_05_16\00018\0452.wav	 你你已经长大了 
2017_05_16\00017\0444.wav	家长可能也没特别的去叮嘱他不能到水边去玩
2017_05_16\00031\0338.wav	 也是很耗时间和精力的 
2017_05_16\00004\0535.wav	 你打开Q Q的那个 
2017_05_16\00004\0811.wav	我在船上等着你
2017_05_16\00030\0655.wav	没事得把耳朵扶一扶睡着完全看不见耳朵
2017_05_16\00021\0938.wav	 那你可以再到我们这里呀 
2017_05_16\00026\0009.wav	老大你光发图片儿不发包诶
2017_05_16\00000\0178.wav	戴眼镜的时候还是回来
2017_05_16\00017\0075.wav	其实都是这样停下来车一两分钟没事这次
2017_05_16\00031\0786.wav	咱家还有吗
2017_05_16\00012\0135.wav	 哦该我说了 
2017_05_16\00003\0810.wav	 各交一百块钱电话费一共二百元 
2017_05_16\00010\0933.wav	 嗯嗯是啊要不你来我们这边住啊 
2017_05_16\00014\0957.wav	那是必须的
2017_05_16\00000\0607.wav	 兄弟你不会懵我们呢吧 
2017_05_16\00011\0585.wav	 有五零 
2017_05_16\00011\0403.wav	我们两个人快见面了
2017_05_16\00001\0715.wav	 图片儿没发过来我看不见 
2017_05_16\00010\0779.wav	 红包已收到谢谢你小珍 
2017_05_16\00008\0982.wav	谁要蜂蜜一瓶一百块
2017_05_16\00020\0656.wav	 咱们村两个人还来 
2017_05_16\00031\0485.wav	 妈妈你的密码是不是 
2017_05_16\00030\0487.wav	 现在和你有身份了 
2017_05_16\00005\0990.wav	 就当到这儿玩儿几天给放个假 
2017_05_16\00006\0894.wav	 你是猪哇我这么跟你说你还不懂唉 
2017_05_16\00027\0769.wav	不得不说这个
2017_05_16\00009\0874.wav	 幸福了你先去哈 
2017_05_16\00023\0713.wav	我怕他吃好饭就回来
2017_05_16\00021\0013.wav	 送给你一个大帅锅 
2017_05_16\00000\0352.wav	 出了月子我就不跟跟你在一起了 
2017_05_16\00015\0833.wav	 我下火车了你现在在哪个位置 
2017_05_16\00010\0220.wav	 早吃过啦我不干活光吃饭 
2017_05_16\00018\0865.wav	你又不给我买啥吃反正你又不给我买
2017_05_16\00015\0752.wav	 我放在车上你再给他们打电话 
2017_05_16\00007\0802.wav	 这都半个月了产量没拿上去 
2017_05_16\00022\0184.wav	 刚才陪人吃饭呢 
2017_05_16\00021\0321.wav	 你得成老板了 
2017_05_16\00017\0419.wav	要是交公粮我得交到你那里头
2017_05_16\00020\0875.wav	 没有人脉是不行的必须得找三个合作伙伴儿 
2017_05_16\00020\0871.wav	 保洁剂 
2017_05_16\00021\0627.wav	在路上在办公室呢
2017_05_16\00016\0816.wav	 恭喜发财万事如意红包拿来 
2017_05_16\00028\0564.wav	 你们工地上有没有人要买 
2017_05_16\00019\0914.wav	你哄谁呢
2017_05_16\00016\0252.wav	 不是的我一个哥哥他讨厌跟我闹闹 
2017_05_16\00002\0476.wav	是的今天来
2017_05_16\00026\0479.wav	我想看你是娶哪个
2017_05_16\00029\0322.wav	 今天衣服穿少了有一些冷 
2017_05_16\00002\0515.wav	 他这种意思就是这两万块钱不想给你了 
2017_05_16\00025\0117.wav	安利的产品非常好只是他的制度嗯留不住人
2017_05_16\00007\0806.wav	今天回老家
2017_05_16\00028\0346.wav	 郑玉萱说咱们家群是随你便 
2017_05_16\00004\0244.wav	小胡在吧回话
2017_05_16\00017\0829.wav	妞妞说着玩儿呢啊不买
2017_05_16\00010\0126.wav	 打着好玩的有什么好玩的 
2017_05_16\00016\0735.wav	 因为我真的不想失去你 
2017_05_16\00020\0792.wav	 友哥儿最近忙啥呢 
2017_05_16\00009\0777.wav	 走路都上下接不到 
2017_05_16\00009\0275.wav	你还去象牙山吗
2017_05_16\00013\0758.wav	 小罗看起你还是蛮漂亮的 
2017_05_16\00006\0923.wav	大家们吃了中午饭了没有
2017_05_16\00009\0886.wav	 三三二班儿的群里谁最恶心 
2017_05_16\00008\0992.wav	 为啥不认同你说说你的理由 
2017_05_16\00026\0145.wav	 还醒啊 
2017_05_16\00024\0920.wav	 郑永安你拍这个炒菜什么意思 
2017_05_16\00012\0800.wav	 回来骑车要小心 
2017_05_16\00031\0217.wav	一个四点儿六一个四点儿七
2017_05_16\00028\0632.wav	 今天在上班啊这么晚吃午饭 
2017_05_16\00032\0365.wav	 就是挂着窗户帘儿照的照不出来 
2017_05_16\00008\0604.wav	谁要蜂蜜一瓶一百块
2017_05_16\00002\0089.wav	我们语音聊几句好吗
2017_05_16\00007\0524.wav	你是二月十七号入住
2017_05_16\00012\0190.wav	 打麻将 
2017_05_16\00002\0683.wav	袖口儿上还是一个C字边儿
2017_05_16\00025\0207.wav	 太贵了买不起 
2017_05_16\00029\0830.wav	大姨你说的什么我你太棒了
2017_05_16\00007\0184.wav	这炉盘是你自己做的吗
2017_05_16\00031\0471.wav	怕人家走不来了
2017_05_16\00017\0809.wav	妈妈姥姥说
2017_05_16\00003\0674.wav	 自己是这样想的还不准我说喽 
2017_05_16\00010\0810.wav	您好你照的照片儿我们非常高
2017_05_16\00000\0245.wav	老同学老同学不跟你聊了我出去一下儿
2017_05_16\00004\0769.wav	吃不吃奶粉我不知道
2017_05_16\00013\0186.wav	 能捡五十个 
2017_05_16\00023\0965.wav	 然后安排补一千只数量补过去 
2017_05_16\00015\0318.wav	我朋友给我发了很多很多我想给你转发过去怎么一点只点了一个图片
2017_05_16\00014\0189.wav	因为遇到你我话就多了
2017_05_16\00008\0555.wav	 我搁甩干筒儿把它都甩了没事后天好像就晴天了 
2017_05_16\00000\0737.wav	 你爱摸哪个就摸哪个去 
2017_05_16\00008\0974.wav	我原来买的是四百二十
2017_05_16\00014\0664.wav	 今天会议取消大家自由活动 
2017_05_16\00019\0910.wav	看完这篇文章后让人心酸
2017_05_16\00020\0156.wav	 发个红包给我出去买汉堡吃 
2017_05_16\00002\0741.wav	 你今天在微信跟他说好了 
2017_05_16\00012\0584.wav	 你不是说不累吗 
2017_05_16\00012\0473.wav	 你得学会自己找乐儿 
2017_05_16\00006\0155.wav	 你要是缺美女帮你介绍一下 
2017_05_16\00015\0795.wav	 咱们小区面积也不大入住的人口也不算太多 
2017_05_16\00014\0385.wav	 没有哇我在家呀 
2017_05_16\00032\0700.wav	下午再让他再试一下不行就跟银行联系了
2017_05_16\00018\0369.wav	 我在等他们 
2017_05_16\00007\0206.wav	车过去
2017_05_16\00028\0657.wav	 我呆会儿要走 
2017_05_16\00019\0933.wav	你没看见还是
2017_05_16\00017\0181.wav	 爸爸妈妈女儿 
2017_05_16\00002\0649.wav	两种颜色拼接的
2017_05_16\00030\0539.wav	 唉你说怎么办哪 
2017_05_16\00014\0504.wav	 我用易信 
2017_05_16\00024\0287.wav	南南今天我去做普通美容护理
2017_05_16\00028\0034.wav	难道不想和我聊天儿了吗
2017_05_16\00012\0792.wav	你够笨的啦
2017_05_16\00019\0987.wav	真好
2017_05_16\00019\0931.wav	 徐总你好 
2017_05_16\00020\0661.wav	 人家看到你两个小孩 
2017_05_16\00012\0341.wav	 其他圈儿里头就行有人儿给你点点一个你就可以增加六分钱但我看你那个增长的不多 
2017_05_16\00027\0693.wav	 白姐你给我拿过去哦嗯可能有机会会过去 
2017_05_16\00000\0912.wav	没事按错了
2017_05_16\00011\0309.wav	 小郭子注意身体 
2017_05_16\00013\0126.wav	 我看你是不是有点吃胖了呀 
2017_05_16\00023\0964.wav	 你的朋友圈也没有相片呀 
2017_05_16\00002\0428.wav	 那个招行转账 
2017_05_16\00011\0343.wav	他明天在家你就别等我了
2017_05_16\00014\0252.wav	在呀你们现在没事儿了张燕儿
2017_05_16\00007\0735.wav	我上次在这个小区门口打的到那个中强那个批发市场
2017_05_16\00019\0069.wav	 你腚上出火了 
2017_05_16\00029\0165.wav	 因为现在我还不能确定时间 
2017_05_16\00000\0890.wav	是你今天能
2017_05_16\00033\0274.wav	 我这样天手机都关机了你们别打电话 
2017_05_16\00019\0148.wav	 要是想喝就能喝完 
2017_05_16\00023\0892.wav	在睡午觉
2017_05_16\00029\0044.wav	 查了半天查到你的详细地址 
2017_05_16\00029\0193.wav	 图图妈呃我的那个册子我们之前买了还是新的在家呢老公说家里还有呢那我们就先不买了 
2017_05_16\00005\0976.wav	 一问到这些事情他很生气 
2017_05_16\00004\0953.wav	 我还是少吃一点吧长的太胖了 
2017_05_16\00000\0532.wav	我在睡觉
2017_05_16\00006\0125.wav	没事还跟我谦虚吗
2017_05_16\00015\0491.wav	也是你不饿你看那图片儿就不饿
2017_05_16\00008\0976.wav	现在再给他上课他听不进去了
2017_05_16\00022\0971.wav	 他不他那屋不冷 
2017_05_16\00006\0404.wav	 小英中午好 
2017_05_16\00003\0429.wav	 再发一个我给你发二十 
2017_05_16\00017\0788.wav	 准备顺产还是剖腹产呢 
2017_05_16\00025\0365.wav	 我很沮丧不想看你 
2017_05_16\00017\0908.wav	 还打针吗 
2017_05_16\00025\0724.wav	 如果你晚上早回来 
2017_05_16\00007\0106.wav	我心想我自己降降格儿
2017_05_16\00023\0352.wav	 确实是这样所有事情都是安全第一嘛 
2017_05_16\00022\0831.wav	对了我不是告诉过你我的那个手机号码吗
2017_05_16\00031\0306.wav	需要我等那么久吗
2017_05_16\00023\0739.wav	爸爸是妈妈说的对
2017_05_16\00017\0651.wav	煤气煤气没了
2017_05_16\00000\0752.wav	 你好美女我挺想你的 
2017_05_16\00019\0124.wav	外面视频能说吗你在门口
2017_05_16\00020\0288.wav	可是我坚决不了我还是会买的但是我买小小的
2017_05_16\00000\0987.wav	养你的病得了
2017_05_16\00028\0621.wav	 老板你这样子那个红光你再给我发四百蓝光发四百个 
2017_05_16\00029\0206.wav	睡觉了睡午觉了跟你聊
2017_05_16\00031\0041.wav	 这款现在只有九号是吧 
2017_05_16\00006\0843.wav	你要学会坚强
2017_05_16\00003\0618.wav	保什么证保证来我这里是吧
2017_05_16\00030\0967.wav	 多一张 
2017_05_16\00029\0243.wav	 其实 
2017_05_16\00005\0196.wav	这就是我们俩产生了感情啦感情
2017_05_16\00013\0062.wav	中吧不用干活啊
2017_05_16\00009\0962.wav	 嗯可以穿吗 
2017_05_16\00015\0082.wav	不光是公司好
2017_05_16\00023\0405.wav	 好的知道了O K 
2017_05_16\00008\0102.wav	管咋腿还啥都挺好的就行
2017_05_16\00029\0062.wav	 怎么看就像三十岁的一样啦 
2017_05_16\00026\0210.wav	 针对你的情况三十天三九八 
2017_05_16\00031\0282.wav	我要去玩力了拜拜
2017_05_16\00015\0084.wav	 我本来不想吃啊然后回到宿舍又想吃了 
2017_05_16\00026\0932.wav	没有回来呀我就多做了一个菜嘛
2017_05_16\00022\0129.wav	 你讲给他听听叫他领取啦就不用买那么多流量了 
2017_05_16\00027\0497.wav	我看哪个都像赵志涵
2017_05_16\00005\0670.wav	他好像就是
2017_05_16\00022\0212.wav	干嘛不开灯啊
2017_05_16\00025\0738.wav	下午到涟水干嘛
2017_05_16\00009\0253.wav	你骗不了我的
2017_05_16\00002\0296.wav	我想你来吧
2017_05_16\00007\0684.wav	 好啊好啊 
2017_05_16\00018\0143.wav	周华像这么懂事的孩子真没几个
2017_05_16\00014\0736.wav	 以前不见你这样问我 
2017_05_16\00025\0413.wav	别邮了明天去哈尔滨
2017_05_16\00011\0399.wav	 晚上回家再聊我现在在上班信号不好 
2017_05_16\00013\0914.wav	 然后他可能比如说是嗯烙饼啊比如说啊不是不是不是 
2017_05_16\00021\0108.wav	以后怎么
2017_05_16\00000\0785.wav	能别在我要上班的时候给我发信息吗
2017_05_16\00023\0709.wav	谁说我没事干啊我在跟帅哥聊天
2017_05_16\00016\0513.wav	狗跟小祖宗一样
2017_05_16\00028\0494.wav	你哪方面办傻事了
2017_05_16\00011\0393.wav	你刚刚学会比老师发的都快
2017_05_16\00000\0296.wav	一般使用十五到二十天
2017_05_16\00022\0955.wav	讲的慢一点要好一点讲的快了就不行了
2017_05_16\00015\0868.wav	因为我们三十号呢就回校了
2017_05_16\00008\0000.wav	他家就在晋阳桥跟前
2017_05_16\00004\0347.wav	 你是不是想睡睡午觉啊 
2017_05_16\00023\0761.wav	平时你早就吃饱了都要休息了
2017_05_16\00029\0448.wav	我不是让你把图片换了吗
2017_05_16\00024\0037.wav	 是五月份截至到十四号共接待 
2017_05_16\00014\0221.wav	 因故不能参加需要向人事部或老师请假 
2017_05_16\00020\0409.wav	比猪都还要猪
2017_05_16\00012\0231.wav	大的小的酷的垂的
2017_05_16\00012\0469.wav	辞职不大问题吧
2017_05_16\00032\0334.wav	我们都忙死了没时间聊天啊
2017_05_16\00006\0060.wav	 小女孩也不读书了 
2017_05_16\00033\0122.wav	 德爱现在一段多少还有二爱四三段的 
2017_05_16\00005\0264.wav	因为我从来没有跟任何一个男人说过这么多的话
2017_05_16\00008\0758.wav	你可不用担心啦我可担心啦
2017_05_16\00011\0508.wav	 老板你那个米买去没有我都只有两三天那那到十八号就结束了 
2017_05_16\00017\0188.wav	关于中国上海创业者公共实训基
2017_05_16\00021\0869.wav	不算好消息
2017_05_16\00021\0030.wav	 唉白费心机呀 
2017_05_16\00020\0347.wav	我是做高端木制品全木私人订制的
2017_05_16\00005\0111.wav	对十六
2017_05_16\00029\0411.wav	那你去忙吧你忙着去找相好的了我打扰你了啊
2017_05_16\00000\0999.wav	心情也很也宽了起来所以我还求你今天发找齐星玉发一下吧
2017_05_16\00002\0456.wav	拉皮车一辆无车轮
2017_05_16\00020\0536.wav	开卡数量应该是没有限制
2017_05_16\00014\0053.wav	和帅哥去玩
2017_05_16\00001\0780.wav	 嗯嗯可能就没有你和你说的那个朋友那么厉害了 
2017_05_16\00023\0063.wav	你那边有下雨吗这边有下雨
2017_05_16\00010\0974.wav	 小樱在哪呢 
2017_05_16\00027\0092.wav	你没保护好你的身体所以这个钱你就得花
2017_05_16\00007\0072.wav	昨天晚上的时候我以为你刚开始结果你就结束了
2017_05_16\00024\0825.wav	 睡着睡觉真舒服 
2017_05_16\00010\0109.wav	不要埋没在这个小城市
2017_05_16\00030\0026.wav	 有雨伞呢不过一样会淋呢 
2017_05_16\00018\0795.wav	没事的没事的老婆啊我想抱抱好吧
2017_05_16\00016\0480.wav	 背地里说姐妹们不好其实我不是这种人呢你不信问新知我很好的一个人 
2017_05_16\00018\0502.wav	 回来你跟他去看电影 
2017_05_16\00025\0884.wav	 唉我打个电话你不接呀 
2017_05_16\00003\0568.wav	但愿有心就能表达
2017_05_16\00023\0255.wav	 好了先不聊了我把鸡砍了 
2017_05_16\00031\0974.wav	 你怎么知道损失啦多少 
2017_05_16\00014\0370.wav	我现在终于什么都办完了终于找你去生孩子了
2017_05_16\00003\0642.wav	打算睡午觉睡完午觉再起来跟你聊
2017_05_16\00026\0068.wav	 哦好好调养调养上班嘛无所谓 
2017_05_16\00033\0123.wav	 不是相思病哥是想看你 
2017_05_16\00012\0677.wav	发红包什么意思啊我不收
2017_05_16\00002\0628.wav	 太棒了又一个受益者 
2017_05_16\00003\0950.wav	 别看了看着人家两个人抱在一起你又不能抱多难受啊 
2017_05_16\00020\0907.wav	 个人头像干嘛要给公司做呃广告啊 
2017_05_16\00008\0323.wav	如果没有上传到组长影响到小组的上传第一次
2017_05_16\00010\0560.wav	刘禹锡
2017_05_16\00024\0403.wav	听见我的声音你
2017_05_16\00003\0571.wav	当时组建这个群的时候我
2017_05_16\00016\0742.wav	 一会有事吗 
2017_05_16\00019\0341.wav	要不我就昨天直接去姥姥那了
2017_05_16\00032\0204.wav	 我说昨天晚上你理发的时候 
2017_05_16\00009\0856.wav	泓姚在这个三二班的群里谁最恶心
2017_05_16\00006\0805.wav	 张震一会把爸爸手机上的一个验证码帮我发过来一下 
2017_05_16\00000\0589.wav	还专门端给我看呢
2017_05_16\00018\0080.wav	 几个疗程能治好呢 
2017_05_16\00031\0056.wav	背心是我妈给我买的
2017_05_16\00017\0217.wav	这两天有点忙我
2017_05_16\00011\0756.wav	二华车子不到哦
2017_05_16\00014\0878.wav	等你有时间也不一定我有时间呀
2017_05_16\00001\0891.wav	 那里全是泥一下雨 
2017_05_16\00015\0721.wav	 弟麻烦你了有空的话把那个膏药的地址 
2017_05_16\00007\0001.wav	 因为给你们的价格我也没办法再降了行吧 
2017_05_16\00031\0365.wav	要是年轻叫我跟你老婆之间选择你还是会选择你老婆的
2017_05_16\00016\0614.wav	 阿青你不要说我是这种人啊 
2017_05_16\00024\0415.wav	老实说
2017_05_16\00000\0343.wav	我那号码不用啦又不上那个微信啦
2017_05_16\00017\0818.wav	对不对你们给我的回馈是啥呀就是用手指着我指责我用手搓我的肩对不对呀
2017_05_16\00027\0264.wav	 我们做了回头客的几率是百分之七 
2017_05_16\00016\0632.wav	嗯睡了
2017_05_16\00001\0457.wav	今天不热今天阴天
2017_05_16\00017\0363.wav	源哥你好你打给我的电话没有接着
2017_05_16\00025\0206.wav	我也没有在林那里讲过阿芳的半句不是林也没有在我面前提起过阿芳有什么不对
2017_05_16\00017\0797.wav	是的要不然还得过着房无一间地无一陇的生活
2017_05_16\00010\0829.wav	 谁说的你乱讲 
2017_05_16\00005\0391.wav	 林晨新 
2017_05_16\00026\0075.wav	 讲你大爷 
2017_05_16\00004\0355.wav	我在的他在家里面我不方便说话
2017_05_16\00030\0637.wav	你能回答我一下吗
2017_05_16\00018\0618.wav	 大明欠我十三块五小明儿欠我十五块三这都得记住 
2017_05_16\00016\0904.wav	 我煮的是原汁原味的 
2017_05_16\00030\0222.wav	因为我对你有感情所以我还跟你什么都说
2017_05_16\00011\0204.wav	 郑永安你以为我炒菜不好吃是吗 
2017_05_16\00001\0499.wav	五月一号至二零二一年四月三十号
2017_05_16\00024\0206.wav	 你怎么做就怎么好 
2017_05_16\00010\0961.wav	 亲爱的你都来到我这儿了 
2017_05_16\00003\0703.wav	 林辰兴你现在在干嘛 
2017_05_16\00024\0821.wav	啊小梅你好
2017_05_16\00010\0669.wav	 就这样吧啊午休了 
2017_05_16\00004\0363.wav	 乳腺增生做手法治疗 
2017_05_16\00012\0292.wav	 所以我认识的网友都是很干净的 
2017_05_16\00000\0144.wav	 这想见面儿呢好真沉得住气看来以后能办大事儿沉得住气的都能办大事儿 
2017_05_16\00025\0212.wav	你刚才发了
2017_05_16\00026\0647.wav	嗯房子也装修完了现在在一切都好在上班儿嘞姑娘也在西安上班嘞祝你一切吉祥如意
2017_05_16\00023\0307.wav	 我签发到汪家大院去了啊 
2017_05_16\00006\0312.wav	现在很多人有驾照
2017_05_16\00009\0332.wav	就是没看见就删掉了
2017_05_16\00027\0984.wav	 下午忙不忙几点开始干过干活儿 
2017_05_16\00008\0520.wav	主要是爱占便宜啥也不是
2017_05_16\00001\0103.wav	我今天回二姐
2017_05_16\00006\0524.wav	 他做的这个比我赚钱 
2017_05_16\00009\0499.wav	 有母亲很好有人儿关心 
2017_05_16\00021\0828.wav	 宝宝真的你是我的唯 
2017_05_16\00025\0931.wav	你在干嘛好无聊哇是不是啊啊好想睡觉
2017_05_16\00007\0436.wav	你去了一眼就看上了
2017_05_16\00029\0078.wav	这是周末的第十一题十二
2017_05_16\00014\0131.wav	 而且你想一下那么好的号码那么便宜一百块钱买得到吗 
2017_05_16\00025\0526.wav	 你好帮我发个位置等一下我吃完饭过来 
2017_05_16\00025\0768.wav	我又没有惹到谁谁害我干嘛
2017_05_16\00010\0209.wav	 诶没多少钱的这种小钱我能行 
2017_05_16\00003\0417.wav	 多卖多赚 
2017_05_16\00025\0562.wav	 卡点儿还是什么的都唱的很好 
2017_05_16\00027\0383.wav	 一上午我就看到这姐俩 
2017_05_16\00008\0798.wav	 顺产比剖腹好多了 
2017_05_16\00002\0032.wav	看那个小片子吗那个片子
2017_05_16\00025\0960.wav	 嗯请请你爸爸带如下资料 
2017_05_16\00016\0922.wav	 我谁我不是我谁我谁家出不去 
2017_05_16\00025\0548.wav	收拾房间呢
2017_05_16\00020\0292.wav	 是的被核工业部给黑了 
2017_05_16\00030\0350.wav	回来我问问他们什么时候儿去啊
2017_05_16\00020\0808.wav	你没看到你微信上面我昨天晚上跟你说的吗
2017_05_16\00011\0359.wav	玩儿的好嗨呀
2017_05_16\00024\0277.wav	 昨天晚上几点哪好晚的 
2017_05_16\00009\0109.wav	 我的心愿 
2017_05_16\00032\0160.wav	我是十二点多上的公交车
2017_05_16\00003\0730.wav	 我在想后期平台如果是没有 
2017_05_16\00028\0861.wav	 别瞎说 
2017_05_16\00013\0259.wav	 没有合适的我和兰华一个房间也行 
2017_05_16\00004\0817.wav	 群主中午好 
2017_05_16\00032\0443.wav	你对我也挺好的你知道吗
2017_05_16\00008\0355.wav	张总儿什么情况
2017_05_16\00018\0066.wav	咱俩聊天儿的全部删掉
2017_05_16\00016\0848.wav	 我用着挺好的主要是卖软件儿主要是售后 
2017_05_16\00012\0230.wav	 晚上冷吗 
2017_05_16\00028\0342.wav	 美女妹妹们怪漂亮呀 
2017_05_16\00025\0335.wav	 你哥眼睛好一点了吗 
2017_05_16\00032\0979.wav	 建设床位五千张建筑面积 
2017_05_16\00002\0512.wav	 今天下雨正好没什么事你晚上来南京 
2017_05_16\00031\0407.wav	我嫁给你的是人又不是车有你就够了
2017_05_16\00024\0453.wav	 怎么办啊 
2017_05_16\00030\0589.wav	 深圳上广州的路 
2017_05_16\00001\0596.wav	 我一月份买的差不多才放款 
2017_05_16\00007\0273.wav	 因为现在取消买一送一了 
2017_05_16\00016\0964.wav	 就是我们这边的H R呢跟其他公司的H R呢是还是比较大气一点 
2017_05_16\00002\0478.wav	 臭蛋你聋啊你没听到哇 
2017_05_16\00017\0485.wav	 你的情况是由于肾虚 
2017_05_16\00023\0895.wav	因为我不知道彤彤适合
2017_05_16\00013\0862.wav	 我过几天给你 
2017_05_16\00026\0177.wav	那他在北京给你们找工作一个月工资多少钱呢
2017_05_16\00018\0214.wav	 陈美女不可能叫他陈美女 
